Instance_Name,Number_Of_Customers,Number_Of_Hotels,Objective_Value,Sum_of_Trips,Penalties,Hotel_Fees,Max_Trip_Length,Number_Of_Trips,Prize,Time,Trace,Trip_Lengths,Percentate-of-collected-prizes,uses-delta-evaluation,procedure-type,alpha,beta,gamma,delta

test,3,2,1070,970,0,100,600,2,2000,0.0017344951629638672,[1070],[370; 600],1.0,True,backtracking,1,0.2,0.2,0.2

rc101_1,10,2,235,235,0,0,235,1,1000,0.030743122100830078,[235],[235],1.0,True,insertion-heuristic-sum-of-trips,1,0,0,0

pr8_1,30,2,102304,2304,0,100000,1925,2,3000,0.4266326427459717,[102304],[1925; 379],1.0,True,pure-greedy,1,0,0,0

eil51_1,50,1,515,336,179,0,336,1,598,1.169480323791504,[515],[336],0.7696267696267697,True,pure-greedy,2,-0.25,0.05,0.5

berlin51_1,51,10,910253,10253,0,900000,1146,10,5100,4.586052894592285,[910253],[983; 1099; 1097; 1146; 976; 1095; 904; 1130; 747; 1076],1.0,True,pure-greedy,1,0,0,0

berlin52_2,51,10,8567,7145,360,1062,1318,6,1416,3.286752939224243,[8567],[1317; 1318; 1313; 978; 1098; 1121],0.7972972972972973,True,pure-greedy,1,0,0,0

berlin52_3,51,10,6704,5181,879,644,1148,5,897,4.223090410232544,[6704],[990; 1101; 1099; 1148; 843],0.5050675675675675,True,pure-greedy,1,0,0,0

rc101_2,100,6,701843,1843,0,700000,235,8,10000,16.476855516433716,[701843],[231; 224; 235; 234; 223; 234; 232; 230],1.0,True,backtracking,1,-0.5,-0.5,0.5

rc101_3,100,6,1547,633,692,222,227,3,2210,11.848242282867432,[1547],[220; 227; 186],0.7615437629221227,True,backtracking,1,-0.4,-0.1,1

pr8_2,144,6,307818,7818,0,300000,1999,4,14400,38.472840309143066,[307818],[1999; 1969; 1974; 1876],1.0,True,insertion-diverse-hotels,1,0,0,0

gil250_1,249,1,101950,1950,0,100000,1294,2,9104,130.3021161556244,[101950],[1294; 656],0.7520237898562696,True,backtracking,1,-0.4,-0.1,1

gil262_1,249,13,5814,1853,2955,1006,319,6,9151,189.11035013198853,[5814],[306; 309; 319; 312; 294; 313],0.7559061622336032,True,backtracking,1,0,0,0.5

a280_1,279,10,703965,3965,0,700000,515,8,27900,250.72276544570923,[703965],[507; 506; 480; 510; 510; 515; 462; 475],1.0,True,backtracking,1,-0.5,-0.5,0.5

