Instance_Name,Number_Of_Customers,Number_Of_Hotels,Objective_Value,Sum_of_Trips,Penalties,Hotel_Fees,Max_Trip_Length,Number_Of_Trips,Prize,Time,Trace,Trip_Lengths,Percentate-of-collected-prizes,uses-delta-evaluation

test,3,2,1280,480,800,0,480,1,1000,3.6716461181640625e-05,[1280],[480],0.5,True

rc101_1,10,2,100303,303,0,100000,227,2,1000,0.00018167495727539062,[100303],[227; 76],1.0,True

pr8_1,30,2,102304,2304,0,100000,1925,2,3000,0.0008361339569091797,[102304],[1925; 379],1.0,True

eil51_1,50,1,539,346,193,0,346,1,584,0.00042128562927246094,[539],[346],0.7516087516087516,True

berlin51_1,51,10,1112245,12245,0,1100000,1146,12,5100,0.011211633682250977,[1112245],[983; 1099; 808; 1146; 976; 855; 1066; 942; 1087; 1084; 1127; 1072],1.0,True

berlin52_2,51,10,10147,8509,404,1234,1302,7,1372,0.0009729862213134766,[10147],[1274; 1096; 1285; 1235; 1265; 1052; 1302],0.7725225225225225,True

berlin52_3,51,10,7955,6150,849,956,1107,7,927,0.0008707046508789062,[7955],[947; 1107; 972; 730; 553; 1052; 789],0.5219594594594594,True

rc101_2,100,6,701843,1843,0,700000,235,8,10000,0.0017142295837402344,[701843],[231; 224; 235; 234; 223; 234; 232; 230],1.0,True

rc101_3,100,6,1585,635,684,266,239,3,2218,0.0015406608581542969,[1585],[239; 232; 164],0.7643004824259132,True

pr8_2,144,6,408253,8253,0,400000,1986,5,14400,0.0028693675994873047,[408253],[1981; 1966; 1986; 1942; 378],1.0,True

gil250_1,249,1,102115,2115,0,100000,1282,2,9083,0.0029304027557373047,[102115],[1282; 833],0.7502891128366099,True

gil262_1,249,13,6916,2538,2996,1382,320,9,9110,0.003765106201171875,[6916],[313; 300; 280; 260; 319; 312; 320; 302; 132],0.7525194118618866,True

a280_1,279,10,703965,3965,0,700000,515,8,27900,0.011496782302856445,[703965],[507; 506; 480; 510; 510; 515; 462; 475],1.0,True

test,3,2,1280,480,800,0,480,1,1000,5.4836273193359375e-05,[1280],[480],0.5,False

rc101_1,10,2,100303,303,0,100000,227,2,1000,0.00037217140197753906,[100303],[227; 76],1.0,False

pr8_1,30,2,102327,2327,0,100000,1874,2,3000,0.001848459243774414,[102327],[1874; 453],1.0,False

eil51_1,50,1,539,346,193,0,346,1,584,0.0014677047729492188,[539],[346],0.7516087516087516,False

berlin51_1,51,10,-1,-1,-1,-1,-1,-1,-1,10.000560760498047,[-1],[],0,False

berlin52_2,51,10,-1,-1,-1,-1,-1,-1,-1,10.000418901443481,[-1],[],0,False

berlin52_3,51,10,8461,6306,825,1330,1060,8,951,0.0037512779235839844,[8461],[729; 1060; 721; 703; 952; 870; 482; 789],0.535472972972973,False

rc101_2,100,6,801919,1919,0,800000,236,9,10000,0.012202262878417969,[801919],[231; 224; 219; 213; 236; 213; 233; 210; 140],1.0,False

rc101_3,100,6,1585,635,684,266,239,3,2218,0.006630897521972656,[1585],[239; 232; 164],0.7643004824259132,False

pr8_2,144,6,408072,8072,0,400000,1989,5,14400,0.021166086196899414,[408072],[1791; 1985; 1989; 1737; 570],1.0,False

gil250_1,249,1,102115,2115,0,100000,1282,2,9083,0.02761077880859375,[102115],[1282; 833],0.7502891128366099,False

gil262_1,249,13,-1,-1,-1,-1,-1,-1,-1,10.000982761383057,[-1],[],0,False

a280_1,279,10,1004299,4299,0,1000000,515,11,27900,0.07944464683532715,[1004299],[439; 513; 400; 499; 385; 276; 324; 373; 329; 515; 246],1.0,False

